:ID,areaCode,:LABEL
16961,WN3,Area
16963,OL1,Area
16965,BL1,Area
16967,SK1,Area
16969,OL7,Area
16971,SK4,Area
16974,M29,Area
16976,OL4,Area
16978,M3,Area
16981,M44,Area
16983,M14,Area
16985,OL3,Area
16987,SK3,Area
16989,BL6,Area
16992,M40,Area
16994,M24,Area
16996,OL8,Area
16998,WN1,Area
17000,WN2,Area
17002,M8,Area
17004,BL4,Area
17008,M15,Area
17012,M1,Area
17015,M30,Area
17018,M20,Area
17021,OL9,Area
17023,M26,Area
17026,BL3,Area
17029,M22,Area
17031,SK6,Area
17033,M32,Area
17035,WA1,Area
17038,BL8,Area
17040,M33,Area
17045,M19,Area
17049,M5,Area
17052,M28,Area
17054,SK7,Area
17056,SK2,Area
17058,M46,Area
17062,WN5,Area
17064,M12,Area
17075,M27,Area
17077,M21,Area
17079,M9,Area
17082,M11,Area
17085,M34,Area
17087,M50,Area
17091,WN7,Area
17095,BL7,Area
17098,OL6,Area
17102,BL9,Area
17105,M18,Area
17109,M25,Area
17116,BL5,Area
17118,OL2,Area
17121,WN6,Area
17124,M6,Area
17135,M23,Area
17143,M35,Area
17151,M41,Area
17158,SK8,Area
17169,WN4,Area
17185,M7,Area
17191,M43,Area
17195,BL2,Area
17202,M13,Area
17205,M31,Area
17212,SK5,Area
17218,M90,Area
17230,M4,Area
17263,M38,Area
17274,M16,Area
17315,M45,Area
18794,BL0,Area
20496,M60,Area
22053,M2,Area
22165,M99,Area
26992,OL5,Area
28168,M17,Area
30241,WA3,Area
61508,OL15,Area
61509,OL12,Area
61510,OL11,Area
61511,OL16,Area
61512,OL10,Area
61513,BL11,Area
61514,SK16,Area
61515,SK14,Area
61516,SK15,Area
61517,WA15,Area
61518,WA14,Area
61519,WA12,Area
