:ID,latitude:double,postcode,longitude:double,address,:LABEL
1,53.530988,WN3 4NL,-2.61741,178 Polding Street,Location
6,53.59882,OL11 3HA,-2.177916,6 Gypsy Lane,Location
10,53.582711,BL1 3AH,-2.442103,116 Myrtle Street,Location
17,53.471473,SK16 5AP,-2.077441,53 Birch Lane,Location
24,53.50318,OL7 9PL,-2.105902,27 Maiden Close,Location
28,53.428044,SK4 4RW,-2.1876,69 Shoreditch Close,Location
32,53.583791,BL1 4HP,-2.451419,106 Mabel Street,Location
36,53.51599,M29 8BA,-2.468207,51 Ellesmere Street,Location
40,53.546754,OL4 2BL,-2.086,59 Raper Street,Location
44,53.475887,M3 4NW,-2.252312,54 Barton Street,Location
54,53.495785,OL7 9RL,-2.113179,17 Henley Drive,Location
58,53.455828,M44 6PD,-2.420453,33 Plover Drive,Location
63,53.456195,M14 5RH,-2.219862,109 Upper Park Road,Location
67,53.53927,OL3 7AH,-2.007717,118 Queensway,Location
71,53.401627,SK3 9EU,-2.16924,146 Gloucester Street,Location
75,53.590367,BL6 6ND,-2.531105,48 Gloucester Avenue,Location
79,53.586995,OL11 2TR,-2.175615,164 Olive Street,Location
83,53.510167,M40 5HY,-2.190527,154 Lightbowne Road,Location
87,53.561217,M24 5NP,-2.208827,22 Crummock Drive,Location
91,53.517608,OL8 3LT,-2.131592,149 Limeside Road,Location
93,53.556775,WN1 2JD,-2.639855,68 Barton Avenue,Location
95,53.522686,WN2 5AB,-2.602658,9 Webster'S Street,Location
99,53.521354,M8 4PF,-2.241918,79 Maldwyn Avenue,Location
103,53.549644,BL4 0DF,-2.416825,157 Pansy Road,Location
107,53.392336,SK3 8NA,-2.173398,42 Gawsworth Close,Location
111,53.528675,OL8 1PP,-2.111291,163 Plymouth Street,Location
115,53.461413,M15 5PS,-2.249605,106 Rook Street,Location
125,53.499747,M8 8YT,-2.254308,155 Olanyian Drive,Location
132,53.609572,OL11 3SN,-2.157285,144 Kent Street,Location
136,53.478533,M1 2NA,-2.228581,161 Sparkle Street,Location
138,53.533264,WN2 3QP,-2.568048,127 Derwent Road,Location
142,53.490143,M30 8BB,-2.363701,53 Trevor Road,Location
144,53.418715,SK4 4BY,-2.192645,137 Whitelow Road,Location
148,53.426788,M20 4XU,-2.222644,177 Wilderswood Close,Location
152,53.584893,BL1 4PR,-2.461778,119 Lowndes Street,Location
156,53.526736,OL9 7HH,-2.142934,117 Canal Street,Location
163,53.56534,M26 4DZ,-2.333077,73 Grindrod Street,Location
167,53.457942,SK14 4SA,-2.083048,124 Meadowfield Court,Location
171,53.572995,BL3 5EL,-2.446894,14 Ryley Street,Location
176,53.488959,SK15 1BR,-2.055529,8 Windsor Drive,Location
180,53.385781,M22 9ND,-2.263174,88 Broadley Avenue,Location
184,53.414009,SK6 4BN,-2.090485,61 John Steet,Location
188,53.451405,M32 8FD,-2.315545,133 Park Road,Location
192,53.392793,WA15 7DE,-2.311307,154 Merefield Road,Location
196,53.445435,SK14 1QX,-2.074578,55 Green Street,Location
200,53.597974,BL8 1NE,-2.317287,157 Pilling Street,Location
204,53.406426,M33 3PF,-2.315633,97 Chiltern Gardens,Location
208,53.417093,M20 2TL,-2.244094,137 Birley Park,Location
218,53.606857,BL1 7QD,-2.443851,83 Wilkinson Road,Location
222,53.58883,BL1 3DR,-2.440369,11 Cramond Close,Location
226,53.445358,M19 3AE,-2.192088,157 Carrill Grove,Location
233,53.592895,BL8 2RS,-2.317778,37 Back Ainsworth Road North,Location
237,53.429391,M20 3HP,-2.2339,49 Holly Royde Close,Location
241,53.482447,M5 4AU,-2.281253,5 Fortran Close,Location
243,53.570565,OL3 5HH,-2.026176,99 Lodge Lane,Location
253,53.530787,M28 3RE,-2.40362,132 Algernon Road,Location
257,53.380052,SK7 4HY,-2.119291,77 Victoria Avenue,Location
261,53.39812,SK2 5EB,-2.118228,154 Cherry Close,Location
265,53.529563,M46 0HW,-2.499071,34 Elmfield Avenue,Location
269,53.397826,WA14 1LT,-2.347257,13 Brien Avenue,Location
273,53.613955,OL16 1QT,-2.15975,102 Sparrow Hill,Location
277,53.541561,WN5 9ND,-2.673488,33 Avon Road,Location
281,53.463571,M12 4UU,-2.206931,103 Cochrane Avenue,Location
285,53.483821,OL7 0SF,-2.103804,106 June Street,Location
289,53.4809,SK16 4NS,-2.091984,24 Hill Street,Location
293,53.457025,M32 0QG,-2.297259,175 Burleigh Road,Location
297,53.372624,SK7 5HQ,-2.138809,88 Langley Avenue,Location
299,53.482531,SK15 1NX,-2.057781,195 Back Melbourne Street,Location
303,53.55487,BL4 7LG,-2.402521,193 Merrion Street,Location
307,53.395783,WA14 1NG,-2.348308,19 Gladstone Road,Location
311,53.452516,M12 4GJ,-2.195343,181 Cayton Street,Location
318,53.515832,M28 7FY,-2.386663,5 Willowmoss Close,Location
320,53.513985,M27 0PU,-2.347091,101 Byron Avenue,Location
324,53.437425,M21 8UA,-2.269033,137 Beechwood Avenue,Location
328,53.508058,M9 4GZ,-2.204811,63 Ravine Avenue,Location
332,53.583593,OL10 2JL,-2.20634,69 Lorraine Close,Location
336,53.475467,M11 1GH,-2.169534,60 John Beeley Avenue,Location
340,53.463182,SK14 6LP,-2.018382,41 Roe Cross Road,Location
344,53.454659,M34 3QX,-2.117437,63 Princess Avenue,Location
348,53.472222,M50 3AA,-2.283656,110 Furness Quay,Location
350,53.545307,OL9 9TH,-2.16343,181 Rowanwood,Location
354,53.541402,WN3 5AQ,-2.645327,109 Melverley Street,Location
364,53.50547,WN7 5QJ,-2.523288,110 Linden Grove,Location
368,53.484454,M30 0DF,-2.336029,136 Castle Street,Location
370,53.523675,WN3 5NB,-2.643972,139 Atholl Grove,Location
383,53.617485,BL7 9LB,-2.420426,153 Old Barn Place,Location
390,53.521905,M27 8SD,-2.331017,120 Mere Drive,Location
394,53.506839,OL6 8XR,-2.094784,148 Alder Close,Location
398,53.432225,M19 1EJ,-2.203121,84 Kenwood Avenue,Location
402,53.535381,WN3 4NA,-2.617926,12 Banner Street,Location
404,53.575754,BL9 9PL,-2.300236,164 Whitefield Road,Location
408,53.520257,M27 9RB,-2.357021,196 Ash Drive,Location
412,53.466442,M18 8QF,-2.164075,154 Bread Street,Location
416,53.535504,OL8 1NG,-2.114191,66 Falcon Street,Location
420,53.426376,M20 4TU,-2.22651,140 Mardale Avenue,Location
424,53.516364,M25 9SL,-2.287465,84 Kersal Close,Location
428,53.554775,M24 6AJ,-2.191286,4 Brassey Street,Location
432,53.602362,OL11 4PB,-2.177961,182 Uttley Street,Location
437,53.463284,M12 5PS,-2.184291,30 Queens Avenue,Location
441,53.482273,OL7 0LX,-2.106121,6 William Street,Location
445,53.544153,BL4 0RP,-2.42418,163 Sandpiper Close,Location
449,53.535519,BL5 2RN,-2.535307,47 Pinfold Close,Location
453,53.566543,OL2 6NQ,-2.101803,1 Three Acre Avenue,Location
457,53.455993,M44 6PN,-2.41684,75 Morillon Road,Location
461,53.554913,WN6 7PF,-2.64508,112 Gidlow Avenue,Location
465,53.46669,M12 5EE,-2.201388,136 Fairhaven Street,Location
472,53.49288,M6 7DJ,-2.297284,78 Ashcroft Avenue,Location
476,53.578258,BL9 8RN,-2.275817,128 Little 66,Location
480,53.550309,BL4 0ET,-2.416771,104 Aster Avenue,Location
484,53.612383,OL16 5HL,-2.137132,5 David Lewis Close,Location
491,53.466783,M18 8GE,-2.164242,133 Gidlow Street,Location
495,53.520345,OL8 2RB,-2.108856,49 Pelham Street,Location
497,53.380625,WA14 2SP,-2.370192,32 Holmwood,Location
504,53.475461,SK16 4AH,-2.08141,170 Broadbent Avenue,Location
506,53.586749,BL6 6SS,-2.53606,127 Lowerbrook Close,Location
513,53.558364,BL9 8NF,-2.284912,121 Randale Drive,Location
520,53.399811,M23 9PJ,-2.301417,41 Sandy Lane,Location
524,53.530293,M25 1FW,-2.273439,48 Heywood Gardens,Location
528,53.469534,M5 3NG,-2.275804,85 Ordsall Lane,Location
532,53.584122,OL2 7UW,-2.093115,70 Pemberton Way,Location
536,53.495458,OL6 9LZ,-2.084554,121 Pekin Street,Location
540,53.390035,SK2 7PA,-2.138655,62 Alldis Street,Location
547,53.501294,OL6 8DT,-2.081355,136 Rowley Street,Location
551,53.505146,M35 0LB,-2.163938,140 Turner Avenue,Location
555,53.358188,SK7 2DS,-2.161089,135 Darwin Grove,Location
559,53.563986,M26 4BR,-2.335074,153 Smyrna Street,Location
566,53.600678,OL11 2NE,-2.160697,162 Lowther Road,Location
573,53.573693,WN6 8AS,-2.686488,33 Old Lane,Location
577,53.556433,M24 5DL,-2.19958,67 Springfield Road,Location
581,53.553049,M24 5DU,-2.202462,15 Traynor Close,Location
585,53.443978,M41 9JA,-2.351698,22 Eeasbrook,Location
589,53.589195,BL1 6BT,-2.462686,89 Abbotsford Road,Location
593,53.419041,SK4 4HE,-2.17936,11 Warwick Road,Location
597,53.404456,M20 5GR,-2.229823,73 Maywood Avenue,Location
601,53.580398,BL9 9GH,-2.283111,137 Harrington Close,Location
605,53.472154,SK16 5HG,-2.06554,197 Gorse Hall Close,Location
615,53.397287,SK8 2HR,-2.197466,165 Carrs Road,Location
619,53.548565,M24 4SL,-2.231373,70 Boardman Lane,Location
623,53.412516,M33 4LD,-2.349558,189 Lowton Road,Location
627,53.522359,M28 0JE,-2.42345,73 Cartleach Lane,Location
631,53.612129,OL16 3EH,-2.10477,199 Sandringham Drive,Location
635,53.476454,M30 7DL,-2.369475,140 Harrison Street,Location
639,53.55462,OL1 4JF,-2.084355,99 Kilburn Street,Location
641,53.411379,SK1 4HS,-2.142591,63 Hanson Mews,Location
645,53.490859,M30 8AG,-2.361958,26 Napier Road,Location
647,53.415794,SK4 2NW,-2.180941,122 The Square,Location
651,53.490294,WN4 8SN,-2.626585,161 Sawyer Drive,Location
655,53.453238,M14 5NX,-2.224259,41 Eva Street,Location
659,53.482161,M5 4GT,-2.265007,79 Gaythorn Street,Location
663,53.601311,BL6 7AF,-2.54983,3 Lee Lane,Location
667,53.376347,M22 5EZ,-2.248836,133 Calve Croft Road,Location
671,53.521829,OL8 3UY,-2.12616,12 Poplar Avenue,Location
675,53.450767,M14 7NG,-2.237752,115 Middleham Street,Location
679,53.516222,M9 4BN,-2.203478,84 Hodge Street,Location
686,53.415866,M20 2DR,-2.232638,53 York Street,Location
690,53.447251,M14 7AG,-2.234089,50 Bredbury Road,Location
694,53.38518,SK8 4QS,-2.227313,42 Silverdale Road,Location
698,53.551822,WN1 2AY,-2.631494,1 Wrightington Street,Location
702,53.529578,M28 3ST,-2.402356,132 Phipps Street,Location
710,53.478026,M30 7HL,-2.36096,182 Stanley Road,Location
717,53.434361,M20 1EY,-2.239045,195 Whitchurch Road,Location
721,53.515463,M7 4LY,-2.264792,155 Holden Road,Location
725,53.447199,M41 9ND,-2.335103,109 Allen Road,Location
727,53.619842,OL16 2HS,-2.15303,90 Pagan Street,Location
729,53.525511,M28 0SG,-2.408879,112 Bowker Street,Location
733,53.571551,BL3 4QD,-2.469666,25 Winsford Grove,Location
737,53.490574,M43 7TN,-2.128916,152 Partridge Rise,Location
741,53.397101,SK3 8JL,-2.159657,133 Lorne Grove,Location
745,53.542731,BL5 2DE,-2.558079,130 Gregory Street,Location
749,53.599141,BL2 3AP,-2.41225,7 Valpy Avenue,Location
753,53.431812,M33 6LA,-2.321646,160 Ventnor Avenue,Location
757,53.56221,BL9 8JZ,-2.27375,109 Anfield Close,Location
761,53.545477,OL4 2BP,-2.086495,186 Ryeburne Street,Location
765,53.544241,WN5 0DD,-2.68761,190 Arnside Road,Location
769,53.389736,WA15 7JD,-2.308052,35 Troutbeck Road,Location
773,53.46468,M13 9EZ,-2.21983,16 Hitchin Walk,Location
777,53.587883,OL10 1AU,-2.220304,164 Wilton Grove,Location
785,53.417309,M31 4DU,-2.421336,101 Park Road,Location
789,53.563848,BL9 9TW,-2.291758,89 Sandy Close,Location
793,53.621173,OL11 5WG,-2.211693,104 Merebank Close,Location
797,53.547505,BL4 7BN,-2.4063,164 Heaton Avenue,Location
799,53.590016,BL1 3UA,-2.438055,179 Enfield Close,Location
803,53.463811,SK14 4TJ,-2.08309,72 Bankfield,Location
807,53.422588,SK5 8BZ,-2.134036,13 Brindale Road,Location
817,53.41591,SK4 2QB,-2.175089,133 Fairholme Road,Location
821,53.432283,M20 1FE,-2.239937,21 Meltham Avenue,Location
825,53.417299,M33 3WE,-2.316917,20 Aylwin Drive,Location
829,53.486205,M5 5HU,-2.306701,17 Kingsford Street,Location
833,53.362566,M90 1NN,-2.269883,24 Domestic Approach,Location
840,53.518876,M40 3PB,-2.166661,97 Annesley Road,Location
844,53.39517,SK8 1AH,-2.215577,151 Mary Street,Location
848,53.403229,SK3 9PA,-2.180121,31 Hillington Road,Location
850,53.619896,OL12 6TA,-2.166379,142 Clement Royds Street,Location
854,53.518334,OL8 3LZ,-2.13354,11 Tiber Avenue,Location
858,53.496928,WN7 4DZ,-2.523861,68 Ullswater Street,Location
862,53.490248,WN4 8LA,-2.638793,46 Queen'S Avenue,Location
864,53.552621,M24 2JA,-2.183352,189 Jopson Street,Location
871,53.464036,M13 9GG,-2.218185,184 Sparrow Close,Location
878,53.406641,WA14 5BH,-2.345117,9 Malpas Drive,Location
882,53.483298,M4 7EU,-2.21313,37 Teer Street,Location
889,53.379929,WA15 8LS,-2.321901,86 Grove Lane,Location
893,53.563277,BL3 2BA,-2.422515,135 Back Melville Street,Location
897,53.493472,WN7 4JJ,-2.522884,136 Opal Grove,Location
901,53.459916,M12 4JE,-2.204669,139 Plymouth Grove,Location
905,53.415236,M20 6UQ,-2.233251,130 South Road,Location
909,53.504714,M29 7GT,-2.471655,139 Lord Street,Location
911,53.604381,OL11 1QJ,-2.161437,42 Haddon Street,Location
927,53.498189,OL6 8HN,-2.073193,118 Townsley Grove,Location
931,53.569117,OL2 5RB,-2.126286,159 Rochdale Lane,Location
935,53.506043,OL6 9DU,-2.077097,35 Greenhurst Road,Location
939,53.559661,M26 1NQ,-2.326028,113 Blackburn Street,Location
943,53.374101,SK8 3RH,-2.230245,72 Brandon Avenue,Location
950,53.515414,M35 9ED,-2.147947,93 Minor Street,Location
952,53.44068,SK14 5HU,-2.074946,20 Marlborough Road,Location
956,53.629047,OL12 9DG,-2.145185,168 Bond Street,Location
960,53.391844,SK8 2JD,-2.195095,90 Easton Drive,Location
962,53.574129,OL2 7BD,-2.101565,179 Moor Street,Location
966,53.385248,SK2 7EG,-2.142924,127 Lowland Road,Location
970,53.489884,M6 5WN,-2.294791,52 Seedley Road,Location
974,53.55087,OL1 4DT,-2.098566,48 Yates Street,Location
978,53.384179,M23 2SG,-2.283716,142 Chalford Road,Location
982,53.548304,WN1 1SE,-2.633796,198 Market Street,Location
986,53.460102,SK14 4JY,-2.077721,73 Lodge Lane,Location
990,53.451967,M13 0QX,-2.201123,2 Farrer Road,Location
994,53.414161,SK4 2HY,-2.179069,41 Elizabeth Court,Location
998,53.535773,BL5 2RR,-2.53282,171 Eatock Way,Location
1002,53.564641,BL3 4JD,-2.464562,80 Hulton Lane,Location
1006,53.42849,M20 3DA,-2.230645,81 Oak Road,Location
1010,53.599524,OL10 4TQ,-2.228947,120 Thorn Close,Location
