:START_ID,:END_ID,:TYPE
31237,808,CALLED
16943,826,CALLED
16944,754,CALLED
16945,11,CALLED
16946,872,CALLED
16947,851,CALLED
16948,1196,CALLED
16949,664,CALLED
16950,855,CALLED
16951,60,CALLED
16952,1149,CALLED
16953,1153,CALLED
16954,1090,CALLED
16955,469,CALLED
16956,329,CALLED
16957,361,CALLED
16958,21,CALLED
16959,1269,CALLED
31240,790,CALLED
31241,391,CALLED
31242,18,CALLED
31243,594,CALLED
31244,548,CALLED
31245,680,CALLED
31246,395,CALLED
31247,963,CALLED
31248,529,CALLED
31249,868,CALLED
31250,41,CALLED
31251,157,CALLED
31252,975,CALLED
31253,250,CALLED
31254,377,CALLED
31255,1124,CALLED
31256,254,CALLED
31257,1116,CALLED
31258,818,CALLED
31259,185,CALLED
31260,770,CALLED
31261,1047,CALLED
31262,227,CALLED
31263,786,CALLED
31264,606,CALLED
31265,642,CALLED
31266,971,CALLED
31267,45,CALLED
31268,683,CALLED
31269,999,CALLED
31270,84,CALLED
31271,676,CALLED
31272,274,CALLED
31273,197,CALLED
31274,201,CALLED
31275,294,CALLED
31276,1109,CALLED
31277,337,CALLED
31278,1291,CALLED
31279,51,CALLED
31280,953,CALLED
31281,944,CALLED
31282,462,CALLED
31283,446,CALLED
31284,189,CALLED
31285,417,CALLED
31286,991,CALLED
31287,129,CALLED
31288,995,CALLED
31289,133,CALLED
31290,636,CALLED
31291,172,CALLED
31292,746,CALLED
31293,145,CALLED
31294,1248,CALLED
31295,804,CALLED
31296,1078,CALLED
31297,304,CALLED
31298,711,CALLED
31299,458,CALLED
31300,837,CALLED
31301,68,CALLED
31302,498,CALLED
31303,859,CALLED
31304,1263,CALLED
31305,707,CALLED
31306,1321,CALLED
31307,321,CALLED
31308,691,CALLED
31309,1041,CALLED
31310,450,CALLED
31311,181,CALLED
31312,1015,CALLED
31313,223,CALLED
31314,750,CALLED
31315,915,CALLED
31316,979,CALLED
31317,590,CALLED
31318,234,CALLED
31319,7,CALLED
31320,215,CALLED
31321,766,CALLED
31322,660,CALLED
31323,514,CALLED
31324,371,CALLED
31325,1082,CALLED
31326,902,CALLED
31327,918,CALLED
31328,582,CALLED
31329,425,CALLED
31330,1172,CALLED
31331,875,CALLED
31332,781,CALLED
31333,936,CALLED
31334,517,CALLED
31335,898,CALLED
31336,1065,CALLED
31337,648,CALLED
31338,1029,CALLED
31339,714,CALLED
31340,1310,CALLED
31341,405,CALLED
31342,1200,CALLED
31343,454,CALLED
31344,345,CALLED
31345,387,CALLED
31346,570,CALLED
31347,477,CALLED
31348,609,CALLED
31349,209,CALLED
31350,438,CALLED
31351,602,CALLED
31352,1157,CALLED
31353,247,CALLED
31354,1306,CALLED
31355,560,CALLED
31356,814,CALLED
31357,510,CALLED
31358,48,CALLED
31359,492,CALLED
31360,473,CALLED
31361,270,CALLED
31362,286,CALLED
31363,1180,CALLED
31364,14,CALLED
31365,1232,CALLED
31366,521,CALLED
31367,722,CALLED
31368,1176,CALLED
31369,890,CALLED
31370,1098,CALLED
31371,122,CALLED
31372,1299,CALLED
31373,1240,CALLED
31374,834,CALLED
31375,55,CALLED
31376,718,CALLED
31377,442,CALLED
31378,742,CALLED
31379,1266,CALLED
31380,695,CALLED
31381,567,CALLED
31382,762,CALLED
31383,1120,CALLED
31384,541,CALLED
31385,177,CALLED
31386,967,CALLED
31387,29,CALLED
31388,413,CALLED
31389,687,CALLED
31390,153,CALLED
31391,525,CALLED
31392,1074,CALLED
31393,325,CALLED
31394,104,CALLED
31395,244,CALLED
31396,1142,CALLED
31397,921,CALLED
31398,940,CALLED
31399,488,CALLED
31400,928,CALLED
31401,365,CALLED
31402,1318,CALLED
31403,37,CALLED
31404,556,CALLED
31405,380,CALLED
31406,586,CALLED
31407,652,CALLED
31408,399,CALLED
31409,96,CALLED
31410,811,CALLED
31411,758,CALLED
31412,108,CALLED
31413,794,CALLED
31414,1033,CALLED
31415,1228,CALLED
31416,983,CALLED
31417,429,CALLED
31418,1208,CALLED
31419,924,CALLED
31420,434,CALLED
31421,160,CALLED
31422,1295,CALLED
31423,1212,CALLED
31424,100,CALLED
31425,774,CALLED
31426,409,CALLED
31427,116,CALLED
31428,672,CALLED
31429,632,CALLED
31430,1131,CALLED
31431,481,CALLED
31432,164,CALLED
31433,879,CALLED
31434,1259,CALLED
31435,1287,CALLED
31436,1302,CALLED
31437,112,CALLED
31438,1192,CALLED
31439,883,CALLED
31440,1146,CALLED
31441,1216,CALLED
31442,238,CALLED
31443,668,CALLED
31444,578,CALLED
31445,1284,CALLED
31446,282,CALLED
31447,205,CALLED
31448,72,CALLED
31449,628,CALLED
31450,1102,CALLED
31451,1236,CALLED
31452,119,CALLED
31453,616,CALLED
31454,1025,CALLED
31455,1007,CALLED
31456,912,CALLED
31457,3,CALLED
31458,808,CALLED
31459,578,CALLED
31460,1284,CALLED
31461,282,CALLED
31462,205,CALLED
31463,72,CALLED
31464,628,CALLED
31465,1102,CALLED
31466,1236,CALLED
31467,119,CALLED
31468,616,CALLED
31469,1025,CALLED
31470,1007,CALLED
31471,912,CALLED
31472,3,CALLED
31473,808,CALLED
31474,578,CALLED
31475,1284,CALLED
31476,282,CALLED
31477,205,CALLED
31478,72,CALLED
31479,628,CALLED
31480,1102,CALLED
31481,1236,CALLED
31482,119,CALLED
31483,616,CALLED
31484,1025,CALLED
31485,1007,CALLED
31486,912,CALLED
31487,3,CALLED
31488,808,CALLED
31489,808,CALLED
31490,826,CALLED
31491,754,CALLED
31492,11,CALLED
31493,872,CALLED
31494,851,CALLED
31495,1196,CALLED
31496,664,CALLED
31497,855,CALLED
31498,60,CALLED
31499,1149,CALLED
31500,1153,CALLED
31501,1090,CALLED
31502,469,CALLED
31503,329,CALLED
31504,361,CALLED
31505,21,CALLED
31506,1269,CALLED
31507,790,CALLED
31508,391,CALLED
31509,18,CALLED
31510,594,CALLED
31511,548,CALLED
31512,680,CALLED
31513,395,CALLED
31514,963,CALLED
31515,529,CALLED
31516,868,CALLED
31517,41,CALLED
31518,157,CALLED
31519,975,CALLED
31520,250,CALLED
31521,377,CALLED
31522,1124,CALLED
31523,254,CALLED
31524,1116,CALLED
31525,818,CALLED
31526,185,CALLED
31527,770,CALLED
31528,1047,CALLED
31529,227,CALLED
31530,786,CALLED
31531,606,CALLED
31532,642,CALLED
31533,971,CALLED
31534,45,CALLED
31535,683,CALLED
31536,999,CALLED
31537,84,CALLED
31538,676,CALLED
31539,274,CALLED
31540,197,CALLED
31541,201,CALLED
31542,294,CALLED
31543,1109,CALLED
31544,337,CALLED
31545,1291,CALLED
31546,51,CALLED
31547,953,CALLED
31548,944,CALLED
31549,462,CALLED
31550,446,CALLED
31551,189,CALLED
31552,417,CALLED
31553,991,CALLED
31554,129,CALLED
31555,995,CALLED
31556,133,CALLED
31557,636,CALLED
31558,172,CALLED
31559,746,CALLED
31560,145,CALLED
31561,1248,CALLED
31562,804,CALLED
31563,1078,CALLED
31564,304,CALLED
31565,711,CALLED
31566,458,CALLED
31567,837,CALLED
31568,68,CALLED
31569,498,CALLED
31570,859,CALLED
31571,1263,CALLED
31572,707,CALLED
31573,1321,CALLED
31574,321,CALLED
31575,691,CALLED
31576,1041,CALLED
31577,450,CALLED
31578,181,CALLED
31579,1015,CALLED
31580,223,CALLED
31581,750,CALLED
31582,915,CALLED
31583,979,CALLED
31584,590,CALLED
31585,234,CALLED
31586,7,CALLED
31587,215,CALLED
31588,766,CALLED
31589,660,CALLED
31590,514,CALLED
31591,371,CALLED
31592,1082,CALLED
31593,902,CALLED
31594,918,CALLED
31595,582,CALLED
31596,425,CALLED
31597,1172,CALLED
31598,875,CALLED
31599,781,CALLED
31600,936,CALLED
31601,517,CALLED
31602,898,CALLED
31603,1065,CALLED
31604,648,CALLED
31605,1029,CALLED
31606,714,CALLED
31607,1310,CALLED
31608,405,CALLED
31609,1200,CALLED
31610,454,CALLED
31611,345,CALLED
31612,387,CALLED
31613,570,CALLED
31614,477,CALLED
31615,609,CALLED
31616,209,CALLED
31617,438,CALLED
31618,602,CALLED
31619,1157,CALLED
31620,247,CALLED
31621,1306,CALLED
31622,560,CALLED
31623,814,CALLED
31624,510,CALLED
31625,48,CALLED
31626,492,CALLED
31627,473,CALLED
31628,270,CALLED
31629,286,CALLED
31630,1180,CALLED
31631,14,CALLED
31632,1232,CALLED
31633,521,CALLED
31634,722,CALLED
31635,1176,CALLED
31636,890,CALLED
31637,1098,CALLED
31638,122,CALLED
31639,1299,CALLED
31640,1240,CALLED
31641,834,CALLED
31642,55,CALLED
31643,718,CALLED
31644,442,CALLED
31645,742,CALLED
31646,1266,CALLED
31647,695,CALLED
31648,567,CALLED
31649,762,CALLED
31650,1120,CALLED
31651,541,CALLED
31652,177,CALLED
31653,967,CALLED
31654,29,CALLED
31655,413,CALLED
31656,687,CALLED
31657,153,CALLED
31658,525,CALLED
31659,1074,CALLED
31660,325,CALLED
31661,104,CALLED
31662,244,CALLED
31663,1142,CALLED
31664,921,CALLED
31665,940,CALLED
31666,488,CALLED
31667,928,CALLED
31668,365,CALLED
31669,1318,CALLED
31670,37,CALLED
31671,556,CALLED
31672,380,CALLED
31673,586,CALLED
31674,652,CALLED
31675,399,CALLED
31676,96,CALLED
31677,811,CALLED
31678,758,CALLED
31679,108,CALLED
31680,794,CALLED
31681,1033,CALLED
31682,1228,CALLED
31683,983,CALLED
31684,429,CALLED
31685,1208,CALLED
31686,924,CALLED
31687,434,CALLED
31688,160,CALLED
31689,1295,CALLED
31690,1212,CALLED
31691,100,CALLED
31692,774,CALLED
31693,409,CALLED
31694,116,CALLED
31695,672,CALLED
31696,632,CALLED
31697,1131,CALLED
31698,481,CALLED
31699,164,CALLED
31700,879,CALLED
31701,1259,CALLED
31702,1287,CALLED
31703,1302,CALLED
31704,112,CALLED
31705,1192,CALLED
31706,883,CALLED
31707,1146,CALLED
31708,1216,CALLED
31709,238,CALLED
31710,668,CALLED
31711,578,CALLED
31712,1284,CALLED
31713,282,CALLED
31714,205,CALLED
31715,72,CALLED
31716,628,CALLED
31717,1102,CALLED
31718,1236,CALLED
31719,119,CALLED
31720,616,CALLED
31721,1025,CALLED
31722,1007,CALLED
31723,912,CALLED
31724,3,CALLED
31725,808,CALLED
31726,578,CALLED
31727,1284,CALLED
31728,282,CALLED
31729,205,CALLED
31730,72,CALLED
31731,628,CALLED
31732,1102,CALLED
31733,1236,CALLED
31734,119,CALLED
31735,616,CALLED
31736,1025,CALLED
31737,1007,CALLED
31738,912,CALLED
31739,3,CALLED
31740,808,CALLED
31741,578,CALLED
31742,1284,CALLED
31743,282,CALLED
31744,205,CALLED
31745,72,CALLED
31746,628,CALLED
31747,1102,CALLED
31748,1236,CALLED
31749,119,CALLED
31750,616,CALLED
31751,1025,CALLED
31752,1007,CALLED
31753,912,CALLED
31754,3,CALLED
31755,808,CALLED
