:START_ID,:END_ID,:TYPE
1325,1495,INVESTIGATED_BY
1326,1862,INVESTIGATED_BY
1327,2179,INVESTIGATED_BY
1328,2078,INVESTIGATED_BY
1329,1551,INVESTIGATED_BY
1330,1512,INVESTIGATED_BY
1331,1447,INVESTIGATED_BY
31756,2238,INVESTIGATED_BY
31757,2153,INVESTIGATED_BY
31758,1844,INVESTIGATED_BY
31759,2110,INVESTIGATED_BY
31760,1949,INVESTIGATED_BY
31761,1612,INVESTIGATED_BY
31762,1805,INVESTIGATED_BY
31763,1999,INVESTIGATED_BY
31764,1621,INVESTIGATED_BY
31765,2045,INVESTIGATED_BY
31766,2003,INVESTIGATED_BY
31767,1677,INVESTIGATED_BY
31768,1708,INVESTIGATED_BY
31769,1397,INVESTIGATED_BY
31770,1861,INVESTIGATED_BY
31771,1813,INVESTIGATED_BY
31772,1767,INVESTIGATED_BY
31773,1985,INVESTIGATED_BY
31774,1910,INVESTIGATED_BY
31775,1935,INVESTIGATED_BY
31776,1346,INVESTIGATED_BY
31777,1723,INVESTIGATED_BY
31778,1877,INVESTIGATED_BY
31779,2165,INVESTIGATED_BY
31780,2068,INVESTIGATED_BY
31781,2211,INVESTIGATED_BY
31782,1901,INVESTIGATED_BY
31783,1568,INVESTIGATED_BY
31784,2184,INVESTIGATED_BY
31785,1935,INVESTIGATED_BY
31786,1980,INVESTIGATED_BY
31787,2054,INVESTIGATED_BY
31788,1595,INVESTIGATED_BY
31789,2023,INVESTIGATED_BY
31790,1495,INVESTIGATED_BY
31791,1737,INVESTIGATED_BY
31792,2223,INVESTIGATED_BY
31793,1597,INVESTIGATED_BY
31794,1593,INVESTIGATED_BY
31795,1349,INVESTIGATED_BY
31796,2243,INVESTIGATED_BY
31797,1785,INVESTIGATED_BY
31798,1984,INVESTIGATED_BY
31799,2242,INVESTIGATED_BY
31800,2107,INVESTIGATED_BY
31801,2054,INVESTIGATED_BY
31802,2157,INVESTIGATED_BY
31803,2035,INVESTIGATED_BY
31804,2298,INVESTIGATED_BY
31805,1504,INVESTIGATED_BY
31806,1759,INVESTIGATED_BY
31807,1389,INVESTIGATED_BY
31808,1888,INVESTIGATED_BY
31809,1834,INVESTIGATED_BY
31810,1701,INVESTIGATED_BY
31811,1574,INVESTIGATED_BY
31812,2036,INVESTIGATED_BY
31813,1700,INVESTIGATED_BY
31814,1379,INVESTIGATED_BY
31815,1783,INVESTIGATED_BY
31816,1633,INVESTIGATED_BY
31817,1900,INVESTIGATED_BY
31818,1790,INVESTIGATED_BY
31819,2263,INVESTIGATED_BY
31820,2223,INVESTIGATED_BY
31821,2190,INVESTIGATED_BY
31822,2050,INVESTIGATED_BY
31823,1455,INVESTIGATED_BY
31824,1543,INVESTIGATED_BY
31825,2337,INVESTIGATED_BY
31826,1872,INVESTIGATED_BY
31827,2186,INVESTIGATED_BY
31828,2005,INVESTIGATED_BY
31829,1699,INVESTIGATED_BY
31830,1996,INVESTIGATED_BY
31831,1925,INVESTIGATED_BY
31832,1515,INVESTIGATED_BY
31833,1695,INVESTIGATED_BY
31834,1851,INVESTIGATED_BY
31835,1710,INVESTIGATED_BY
31836,2334,INVESTIGATED_BY
31837,1486,INVESTIGATED_BY
31838,1488,INVESTIGATED_BY
31839,1715,INVESTIGATED_BY
31840,1994,INVESTIGATED_BY
31841,2054,INVESTIGATED_BY
31842,2113,INVESTIGATED_BY
31843,1469,INVESTIGATED_BY
31844,1591,INVESTIGATED_BY
31845,1344,INVESTIGATED_BY
31846,2013,INVESTIGATED_BY
31847,1556,INVESTIGATED_BY
31848,1538,INVESTIGATED_BY
31849,1670,INVESTIGATED_BY
31850,2330,INVESTIGATED_BY
31851,1552,INVESTIGATED_BY
31852,1469,INVESTIGATED_BY
31853,1385,INVESTIGATED_BY
31854,1743,INVESTIGATED_BY
31855,1766,INVESTIGATED_BY
31856,1763,INVESTIGATED_BY
31857,1971,INVESTIGATED_BY
31858,1464,INVESTIGATED_BY
31859,1881,INVESTIGATED_BY
31860,2297,INVESTIGATED_BY
31861,1734,INVESTIGATED_BY
31862,1411,INVESTIGATED_BY
31863,2184,INVESTIGATED_BY
31864,1509,INVESTIGATED_BY
31865,2296,INVESTIGATED_BY
31866,1631,INVESTIGATED_BY
31867,1762,INVESTIGATED_BY
31868,1522,INVESTIGATED_BY
31869,1757,INVESTIGATED_BY
31870,2031,INVESTIGATED_BY
31871,1599,INVESTIGATED_BY
31872,1375,INVESTIGATED_BY
31873,2014,INVESTIGATED_BY
31874,1689,INVESTIGATED_BY
31875,1568,INVESTIGATED_BY
31876,2280,INVESTIGATED_BY
31877,1438,INVESTIGATED_BY
31878,1625,INVESTIGATED_BY
31879,2053,INVESTIGATED_BY
31880,2115,INVESTIGATED_BY
31881,2301,INVESTIGATED_BY
31882,1768,INVESTIGATED_BY
31883,1452,INVESTIGATED_BY
31884,2071,INVESTIGATED_BY
31885,2133,INVESTIGATED_BY
31886,1456,INVESTIGATED_BY
31887,1603,INVESTIGATED_BY
31888,2021,INVESTIGATED_BY
31889,1889,INVESTIGATED_BY
31890,1984,INVESTIGATED_BY
31891,2158,INVESTIGATED_BY
31892,1787,INVESTIGATED_BY
31893,2098,INVESTIGATED_BY
31894,2088,INVESTIGATED_BY
31895,2274,INVESTIGATED_BY
31896,1794,INVESTIGATED_BY
31897,2245,INVESTIGATED_BY
31898,2128,INVESTIGATED_BY
31899,2212,INVESTIGATED_BY
31900,1493,INVESTIGATED_BY
31901,2245,INVESTIGATED_BY
31902,2165,INVESTIGATED_BY
31903,2035,INVESTIGATED_BY
31904,1469,INVESTIGATED_BY
31905,1415,INVESTIGATED_BY
31906,1367,INVESTIGATED_BY
31907,1341,INVESTIGATED_BY
31908,1912,INVESTIGATED_BY
31909,1846,INVESTIGATED_BY
31910,1672,INVESTIGATED_BY
31911,2076,INVESTIGATED_BY
31912,2079,INVESTIGATED_BY
31913,1791,INVESTIGATED_BY
31914,1800,INVESTIGATED_BY
31915,2178,INVESTIGATED_BY
31916,1385,INVESTIGATED_BY
31917,2308,INVESTIGATED_BY
31918,2011,INVESTIGATED_BY
31919,2004,INVESTIGATED_BY
31920,2271,INVESTIGATED_BY
31921,2074,INVESTIGATED_BY
31922,1561,INVESTIGATED_BY
31923,1357,INVESTIGATED_BY
31924,1895,INVESTIGATED_BY
31925,1876,INVESTIGATED_BY
31926,2027,INVESTIGATED_BY
31927,2193,INVESTIGATED_BY
31928,1993,INVESTIGATED_BY
31929,1726,INVESTIGATED_BY
31930,1946,INVESTIGATED_BY
31931,1818,INVESTIGATED_BY
31932,1496,INVESTIGATED_BY
31933,2227,INVESTIGATED_BY
31934,1371,INVESTIGATED_BY
31935,1880,INVESTIGATED_BY
31936,1427,INVESTIGATED_BY
31937,2296,INVESTIGATED_BY
31938,1559,INVESTIGATED_BY
31939,1673,INVESTIGATED_BY
31940,1358,INVESTIGATED_BY
31941,1594,INVESTIGATED_BY
31942,1683,INVESTIGATED_BY
31943,1831,INVESTIGATED_BY
31944,2106,INVESTIGATED_BY
31945,2066,INVESTIGATED_BY
31946,1434,INVESTIGATED_BY
31947,1374,INVESTIGATED_BY
31948,1345,INVESTIGATED_BY
31949,2065,INVESTIGATED_BY
31950,1435,INVESTIGATED_BY
31951,1878,INVESTIGATED_BY
31952,1923,INVESTIGATED_BY
31953,1549,INVESTIGATED_BY
31954,2055,INVESTIGATED_BY
31955,2049,INVESTIGATED_BY
31956,1937,INVESTIGATED_BY
31957,2033,INVESTIGATED_BY
31958,1546,INVESTIGATED_BY
31959,1388,INVESTIGATED_BY
31960,1766,INVESTIGATED_BY
31961,1775,INVESTIGATED_BY
31962,2289,INVESTIGATED_BY
31963,1935,INVESTIGATED_BY
31964,1581,INVESTIGATED_BY
31965,1520,INVESTIGATED_BY
31966,1947,INVESTIGATED_BY
31967,1453,INVESTIGATED_BY
31968,2080,INVESTIGATED_BY
31969,1741,INVESTIGATED_BY
31970,2037,INVESTIGATED_BY
31971,1432,INVESTIGATED_BY
31972,2141,INVESTIGATED_BY
31973,2149,INVESTIGATED_BY
31974,1739,INVESTIGATED_BY
31975,1655,INVESTIGATED_BY
31976,1982,INVESTIGATED_BY
31977,1406,INVESTIGATED_BY
31978,1561,INVESTIGATED_BY
31979,1905,INVESTIGATED_BY
31980,1477,INVESTIGATED_BY
31981,1626,INVESTIGATED_BY
31982,1889,INVESTIGATED_BY
31983,1385,INVESTIGATED_BY
31984,1491,INVESTIGATED_BY
31985,2299,INVESTIGATED_BY
31986,2323,INVESTIGATED_BY
31987,2287,INVESTIGATED_BY
31988,2237,INVESTIGATED_BY
31989,1633,INVESTIGATED_BY
31990,2201,INVESTIGATED_BY
31991,2054,INVESTIGATED_BY
31992,1432,INVESTIGATED_BY
31993,1702,INVESTIGATED_BY
31994,1439,INVESTIGATED_BY
31995,1491,INVESTIGATED_BY
31996,2097,INVESTIGATED_BY
31997,1794,INVESTIGATED_BY
31998,1380,INVESTIGATED_BY
31999,1701,INVESTIGATED_BY
32000,1416,INVESTIGATED_BY
32001,1719,INVESTIGATED_BY
32002,2298,INVESTIGATED_BY
32003,1784,INVESTIGATED_BY
32004,1767,INVESTIGATED_BY
32005,1564,INVESTIGATED_BY
32006,1736,INVESTIGATED_BY
32007,1808,INVESTIGATED_BY
32008,1559,INVESTIGATED_BY
32009,1585,INVESTIGATED_BY
32010,1769,INVESTIGATED_BY
32011,1711,INVESTIGATED_BY
32012,1393,INVESTIGATED_BY
32013,2101,INVESTIGATED_BY
32014,2336,INVESTIGATED_BY
32015,2182,INVESTIGATED_BY
32016,1455,INVESTIGATED_BY
32017,1816,INVESTIGATED_BY
32018,1905,INVESTIGATED_BY
32019,1891,INVESTIGATED_BY
32020,1456,INVESTIGATED_BY
32021,2089,INVESTIGATED_BY
32022,1837,INVESTIGATED_BY
32023,2176,INVESTIGATED_BY
32024,2279,INVESTIGATED_BY
32025,1981,INVESTIGATED_BY
32026,2144,INVESTIGATED_BY
32027,2169,INVESTIGATED_BY
32028,1593,INVESTIGATED_BY
32029,2294,INVESTIGATED_BY
32030,1532,INVESTIGATED_BY
32031,1840,INVESTIGATED_BY
32032,1991,INVESTIGATED_BY
32033,1899,INVESTIGATED_BY
32034,2110,INVESTIGATED_BY
32035,1408,INVESTIGATED_BY
32036,1881,INVESTIGATED_BY
32037,1396,INVESTIGATED_BY
32038,2290,INVESTIGATED_BY
32039,1745,INVESTIGATED_BY
32040,2289,INVESTIGATED_BY
32041,1415,INVESTIGATED_BY
32042,1825,INVESTIGATED_BY
32043,2322,INVESTIGATED_BY
32044,2307,INVESTIGATED_BY
32045,2277,INVESTIGATED_BY
32046,1576,INVESTIGATED_BY
32047,1459,INVESTIGATED_BY
32048,1345,INVESTIGATED_BY
32049,2125,INVESTIGATED_BY
32050,1987,INVESTIGATED_BY
32051,1667,INVESTIGATED_BY
32052,2233,INVESTIGATED_BY
32053,1507,INVESTIGATED_BY
32054,1910,INVESTIGATED_BY
32055,1617,INVESTIGATED_BY
32056,1349,INVESTIGATED_BY
32057,1371,INVESTIGATED_BY
32058,2182,INVESTIGATED_BY
32059,1817,INVESTIGATED_BY
32060,1876,INVESTIGATED_BY
32061,1622,INVESTIGATED_BY
32062,1703,INVESTIGATED_BY
32063,1766,INVESTIGATED_BY
32064,1853,INVESTIGATED_BY
32065,1572,INVESTIGATED_BY
32066,1488,INVESTIGATED_BY
32067,1833,INVESTIGATED_BY
32068,1588,INVESTIGATED_BY
32069,1425,INVESTIGATED_BY
32070,1460,INVESTIGATED_BY
32071,1718,INVESTIGATED_BY
32072,1483,INVESTIGATED_BY
32073,2323,INVESTIGATED_BY
32074,1899,INVESTIGATED_BY
32075,2284,INVESTIGATED_BY
32076,2181,INVESTIGATED_BY
32077,1750,INVESTIGATED_BY
32078,2059,INVESTIGATED_BY
32079,2001,INVESTIGATED_BY
32080,2207,INVESTIGATED_BY
32081,1581,INVESTIGATED_BY
32082,1669,INVESTIGATED_BY
32083,2289,INVESTIGATED_BY
32084,1955,INVESTIGATED_BY
32085,1995,INVESTIGATED_BY
32086,2269,INVESTIGATED_BY
32087,1523,INVESTIGATED_BY
32088,1827,INVESTIGATED_BY
32089,1572,INVESTIGATED_BY
32090,1424,INVESTIGATED_BY
32091,2040,INVESTIGATED_BY
32092,2253,INVESTIGATED_BY
32093,1520,INVESTIGATED_BY
32094,1965,INVESTIGATED_BY
32095,1600,INVESTIGATED_BY
32096,1794,INVESTIGATED_BY
32097,2259,INVESTIGATED_BY
32098,1445,INVESTIGATED_BY
32099,1813,INVESTIGATED_BY
32100,1480,INVESTIGATED_BY
32101,2212,INVESTIGATED_BY
32102,1500,INVESTIGATED_BY
32103,1933,INVESTIGATED_BY
32104,1691,INVESTIGATED_BY
32105,2132,INVESTIGATED_BY
32106,1353,INVESTIGATED_BY
32107,1405,INVESTIGATED_BY
32108,1701,INVESTIGATED_BY
32109,2238,INVESTIGATED_BY
32110,1916,INVESTIGATED_BY
32111,1653,INVESTIGATED_BY
32112,2045,INVESTIGATED_BY
32113,1875,INVESTIGATED_BY
32114,1324,INVESTIGATED_BY
32115,2147,INVESTIGATED_BY
32116,1388,INVESTIGATED_BY
32117,1718,INVESTIGATED_BY
32118,1349,INVESTIGATED_BY
32119,1439,INVESTIGATED_BY
32120,2004,INVESTIGATED_BY
32121,1713,INVESTIGATED_BY
32122,2097,INVESTIGATED_BY
32123,1477,INVESTIGATED_BY
32124,2174,INVESTIGATED_BY
32125,2080,INVESTIGATED_BY
32126,1674,INVESTIGATED_BY
32127,1443,INVESTIGATED_BY
32128,1421,INVESTIGATED_BY
32129,1723,INVESTIGATED_BY
32130,1696,INVESTIGATED_BY
32131,1448,INVESTIGATED_BY
32132,2267,INVESTIGATED_BY
32133,1652,INVESTIGATED_BY
32134,2260,INVESTIGATED_BY
32135,1875,INVESTIGATED_BY
32136,1808,INVESTIGATED_BY
32137,2281,INVESTIGATED_BY
32138,2088,INVESTIGATED_BY
32139,1944,INVESTIGATED_BY
32140,1780,INVESTIGATED_BY
32141,2252,INVESTIGATED_BY
32142,1707,INVESTIGATED_BY
32143,1887,INVESTIGATED_BY
32144,1908,INVESTIGATED_BY
32145,1666,INVESTIGATED_BY
32146,2226,INVESTIGATED_BY
