:START_ID,:END_ID,:TYPE
61528,57117,INVOLVED_IN
61529,57117,INVOLVED_IN
61530,57116,INVOLVED_IN
61531,57116,INVOLVED_IN
61532,57116,INVOLVED_IN
61506,31868,INVOLVED_IN
61507,31868,INVOLVED_IN
31238,43913,INVOLVED_IN
31239,43914,INVOLVED_IN
60148,31762,INVOLVED_IN
60149,31777,INVOLVED_IN
60150,31785,INVOLVED_IN
60151,31786,INVOLVED_IN
60152,31797,INVOLVED_IN
60153,31798,INVOLVED_IN
60154,31799,INVOLVED_IN
60155,31835,INVOLVED_IN
60156,31874,INVOLVED_IN
60157,31875,INVOLVED_IN
60158,31882,INVOLVED_IN
60159,31908,INVOLVED_IN
60520,31936,INVOLVED_IN
60521,31951,INVOLVED_IN
60522,31952,INVOLVED_IN
60523,31960,INVOLVED_IN
60524,31975,INVOLVED_IN
60525,31976,INVOLVED_IN
60528,31993,INVOLVED_IN
60529,31994,INVOLVED_IN
60530,32001,INVOLVED_IN
60531,32040,INVOLVED_IN
60532,32041,INVOLVED_IN
60534,32042,INVOLVED_IN
60535,32055,INVOLVED_IN
60536,32056,INVOLVED_IN
60537,32057,INVOLVED_IN
60538,32058,INVOLVED_IN
60540,32079,INVOLVED_IN
60541,32080,INVOLVED_IN
60542,32081,INVOLVED_IN
60543,32097,INVOLVED_IN
60544,32107,INVOLVED_IN
60545,32108,INVOLVED_IN
60546,32109,INVOLVED_IN
60547,32110,INVOLVED_IN
60549,32111,INVOLVED_IN
60550,32112,INVOLVED_IN
60551,32115,INVOLVED_IN
60552,32116,INVOLVED_IN
60553,32126,INVOLVED_IN
60554,32127,INVOLVED_IN
60555,32133,INVOLVED_IN
60556,32140,INVOLVED_IN
60557,32141,INVOLVED_IN
60558,32142,INVOLVED_IN
60559,32167,INVOLVED_IN
60560,32168,INVOLVED_IN
60561,32214,INVOLVED_IN
60562,32215,INVOLVED_IN
60563,32216,INVOLVED_IN
60564,32292,INVOLVED_IN
60565,32293,INVOLVED_IN
60566,32319,INVOLVED_IN
60567,32320,INVOLVED_IN
60568,32337,INVOLVED_IN
60569,32338,INVOLVED_IN
60570,32339,INVOLVED_IN
60571,32381,INVOLVED_IN
60572,32382,INVOLVED_IN
60573,32402,INVOLVED_IN
60574,32403,INVOLVED_IN
60575,32424,INVOLVED_IN
60576,32425,INVOLVED_IN
60577,32478,INVOLVED_IN
60578,32502,INVOLVED_IN
60579,32556,INVOLVED_IN
60580,32557,INVOLVED_IN
60581,32607,INVOLVED_IN
60582,32608,INVOLVED_IN
60583,32609,INVOLVED_IN
60584,32647,INVOLVED_IN
60585,32648,INVOLVED_IN
60586,32649,INVOLVED_IN
60587,1335,INVOLVED_IN
60588,1336,INVOLVED_IN
60589,1337,INVOLVED_IN
60590,1338,INVOLVED_IN
60591,1339,INVOLVED_IN
60592,32750,INVOLVED_IN
60593,32768,INVOLVED_IN
60594,32769,INVOLVED_IN
60595,32798,INVOLVED_IN
60596,32799,INVOLVED_IN
60597,32847,INVOLVED_IN
60598,32848,INVOLVED_IN
60599,32849,INVOLVED_IN
60600,32850,INVOLVED_IN
60601,32943,INVOLVED_IN
60602,32944,INVOLVED_IN
60603,32945,INVOLVED_IN
60604,32946,INVOLVED_IN
60605,32947,INVOLVED_IN
60606,32948,INVOLVED_IN
60607,32949,INVOLVED_IN
60608,32950,INVOLVED_IN
60609,33045,INVOLVED_IN
60610,33046,INVOLVED_IN
60611,33047,INVOLVED_IN
60612,33103,INVOLVED_IN
60613,33104,INVOLVED_IN
60614,33105,INVOLVED_IN
60615,33132,INVOLVED_IN
60616,33133,INVOLVED_IN
60617,33150,INVOLVED_IN
60618,33151,INVOLVED_IN
60619,33152,INVOLVED_IN
60620,33183,INVOLVED_IN
60621,33184,INVOLVED_IN
60622,33205,INVOLVED_IN
60623,33206,INVOLVED_IN
60624,33216,INVOLVED_IN
60625,33234,INVOLVED_IN
60626,33235,INVOLVED_IN
60627,33236,INVOLVED_IN
60628,33237,INVOLVED_IN
60629,33289,INVOLVED_IN
60630,33304,INVOLVED_IN
60631,33305,INVOLVED_IN
60632,33306,INVOLVED_IN
60633,33310,INVOLVED_IN
60634,33311,INVOLVED_IN
60635,33328,INVOLVED_IN
60636,33329,INVOLVED_IN
60637,33349,INVOLVED_IN
60638,33416,INVOLVED_IN
60639,33426,INVOLVED_IN
60640,33435,INVOLVED_IN
60641,33462,INVOLVED_IN
60642,33463,INVOLVED_IN
60643,33464,INVOLVED_IN
60644,33465,INVOLVED_IN
60645,33466,INVOLVED_IN
60646,33467,INVOLVED_IN
60647,33494,INVOLVED_IN
60648,33495,INVOLVED_IN
60649,33496,INVOLVED_IN
60650,33524,INVOLVED_IN
60651,33525,INVOLVED_IN
60652,33526,INVOLVED_IN
60653,33551,INVOLVED_IN
60654,33552,INVOLVED_IN
60655,33560,INVOLVED_IN
60656,33561,INVOLVED_IN
60657,33582,INVOLVED_IN
60658,33583,INVOLVED_IN
60659,33584,INVOLVED_IN
60660,33606,INVOLVED_IN
60661,33607,INVOLVED_IN
60662,33608,INVOLVED_IN
60663,33609,INVOLVED_IN
60664,33646,INVOLVED_IN
60665,33662,INVOLVED_IN
60666,33786,INVOLVED_IN
60667,33787,INVOLVED_IN
60668,33788,INVOLVED_IN
60669,33789,INVOLVED_IN
60671,33790,INVOLVED_IN
60672,33854,INVOLVED_IN
60673,33855,INVOLVED_IN
60674,33856,INVOLVED_IN
60675,33857,INVOLVED_IN
60676,33858,INVOLVED_IN
60677,33859,INVOLVED_IN
60678,33860,INVOLVED_IN
60679,33861,INVOLVED_IN
60680,33881,INVOLVED_IN
60681,33882,INVOLVED_IN
60682,33883,INVOLVED_IN
60683,33907,INVOLVED_IN
60684,33908,INVOLVED_IN
60685,33909,INVOLVED_IN
60686,33935,INVOLVED_IN
60687,33940,INVOLVED_IN
60688,33950,INVOLVED_IN
60689,33960,INVOLVED_IN
60690,33975,INVOLVED_IN
60691,33976,INVOLVED_IN
60692,33977,INVOLVED_IN
60693,33984,INVOLVED_IN
60694,33985,INVOLVED_IN
60695,33992,INVOLVED_IN
60696,34015,INVOLVED_IN
60697,34036,INVOLVED_IN
60698,34037,INVOLVED_IN
60699,34038,INVOLVED_IN
60700,34039,INVOLVED_IN
60701,34040,INVOLVED_IN
60702,34041,INVOLVED_IN
60703,34058,INVOLVED_IN
60704,34068,INVOLVED_IN
60705,34085,INVOLVED_IN
60706,34086,INVOLVED_IN
60707,34087,INVOLVED_IN
60708,34088,INVOLVED_IN
60709,34089,INVOLVED_IN
60710,34090,INVOLVED_IN
60711,34091,INVOLVED_IN
60712,34092,INVOLVED_IN
60713,34111,INVOLVED_IN
60714,34127,INVOLVED_IN
60717,34128,INVOLVED_IN
60718,34163,INVOLVED_IN
60719,34164,INVOLVED_IN
