:START_ID,:END_ID,:TYPE
1073,242,KNOWS
857,360,KNOWS
1046,1039,KNOWS
930,792,KNOWS
973,926,KNOWS
1024,306,KNOWS
327,1210,KNOWS
640,1084,KNOWS
806,824,KNOWS
2,752,KNOWS
910,9,KNOWS
1005,870,KNOWS
1024,849,KNOWS
614,1194,KNOWS
118,662,KNOWS
509,1301,KNOWS
1178,744,KNOWS
713,802,KNOWS
576,9,KNOWS
419,1159,KNOWS
70,62,KNOWS
487,798,KNOWS
630,155,KNOWS
27,20,KNOWS
444,260,KNOWS
121,839,KNOWS
468,82,KNOWS
600,175,KNOWS
1001,98,KNOWS
452,1027,KNOWS
1238,47,KNOWS
1073,483,KNOWS
857,331,KNOWS
147,756,KNOWS
448,709,KNOWS
973,335,KNOWS
1024,479,KNOWS
327,701,KNOWS
640,214,KNOWS
509,292,KNOWS
1178,369,KNOWS
713,288,KNOWS
706,225,KNOWS
576,1304,KNOWS
419,604,KNOWS
1198,232,KNOWS
1092,678,KNOWS
1265,272,KNOWS
70,969,KNOWS
1114,319,KNOWS
874,1279,KNOWS
27,1194,KNOWS
444,264,KNOWS
828,1108,KNOWS
121,1031,KNOWS
531,207,KNOWS
468,363,KNOWS
1001,910,KNOWS
452,53,KNOWS
1238,39,KNOWS
2,353,KNOWS
776,66,KNOWS
1073,1111,KNOWS
857,50,KNOWS
147,436,KNOWS
1046,1308,KNOWS
930,1080,KNOWS
448,86,KNOWS
973,203,KNOWS
327,302,KNOWS
640,592,KNOWS
509,31,KNOWS
713,736,KNOWS
706,475,KNOWS
896,670,KNOWS
576,5,KNOWS
419,1297,KNOWS
1198,43,KNOWS
1092,162,KNOWS
70,674,KNOWS
1114,654,KNOWS
487,74,KNOWS
199,554,KNOWS
630,836,KNOWS
27,1190,KNOWS
444,102,KNOWS
828,1206,KNOWS
121,955,KNOWS
468,16,KNOWS
600,748,KNOWS
452,892,KNOWS
1238,106,KNOWS
2,1271,KNOWS
1073,490,KNOWS
1046,349,KNOWS
930,580,KNOWS
448,252,KNOWS
973,1261,KNOWS
1024,951,KNOWS
327,128,KNOWS
640,1144,KNOWS
509,611,KNOWS
1178,732,KNOWS
713,1226,KNOWS
896,634,KNOWS
1198,760,KNOWS
1092,211,KNOWS
1265,824,KNOWS
1114,870,KNOWS
487,323,KNOWS
630,393,KNOWS
874,863,KNOWS
444,246,KNOWS
828,813,KNOWS
121,728,KNOWS
468,1234,KNOWS
600,440,KNOWS
452,1122,KNOWS
1238,934,KNOWS
2,989,KNOWS
776,888,KNOWS
1073,562,KNOWS
1046,519,KNOWS
448,622,KNOWS
973,464,KNOWS
1024,1005,KNOWS
327,596,KNOWS
509,535,KNOWS
713,1293,KNOWS
706,423,KNOWS
896,397,KNOWS
576,1104,KNOWS
419,403,KNOWS
1092,217,KNOWS
1265,1283,KNOWS
70,849,KNOWS
1114,572,KNOWS
487,920,KNOWS
199,1186,KNOWS
630,904,KNOWS
27,614,KNOWS
828,1166,KNOWS
121,584,KNOWS
531,1202,KNOWS
468,1134,KNOWS
600,433,KNOWS
1001,764,KNOWS
452,716,KNOWS
1238,993,KNOWS
2,938,KNOWS
776,166,KNOWS
1073,256,KNOWS
147,1148,KNOWS
930,881,KNOWS
448,1253,KNOWS
973,357,KNOWS
1024,221,KNOWS
327,496,KNOWS
713,151,KNOWS
706,662,KNOWS
896,946,KNOWS
419,1162,KNOWS
1198,923,KNOWS
1092,1035,KNOWS
70,1151,KNOWS
1114,276,KNOWS
487,170,KNOWS
630,693,KNOWS
874,386,KNOWS
444,1049,KNOWS
828,650,KNOWS
121,942,KNOWS
468,885,KNOWS
600,191,KNOWS
1001,183,KNOWS
1238,689,KNOWS
2,543,KNOWS
1073,784,KNOWS
857,1118,KNOWS
973,588,KNOWS
1024,1170,KNOWS
327,1214,KNOWS
640,843,KNOWS
1178,407,KNOWS
713,1174,KNOWS
706,373,KNOWS
896,658,KNOWS
576,1289,KNOWS
419,23,KNOWS
1198,981,KNOWS
1114,1257,KNOWS
487,298,KNOWS
199,159,KNOWS
630,131,KNOWS
27,460,KNOWS
828,500,KNOWS
531,1017,KNOWS
468,806,KNOWS
600,780,KNOWS
1001,917,KNOWS
452,415,KNOWS
2,94,KNOWS
776,720,KNOWS
1073,1155,KNOWS
857,740,KNOWS
147,1316,KNOWS
1046,788,KNOWS
973,1013,KNOWS
1024,516,KNOWS
327,997,KNOWS
640,1088,KNOWS
509,1009,KNOWS
1178,569,KNOWS
713,1268,KNOWS
706,539,KNOWS
896,1312,KNOWS
1198,1222,KNOWS
1092,411,KNOWS
70,143,KNOWS
1114,558,KNOWS
487,236,KNOWS
199,816,KNOWS
874,666,KNOWS
444,1021,KNOWS
828,1057,KNOWS
121,229,KNOWS
531,118,KNOWS
468,512,KNOWS
600,379,KNOWS
1001,546,KNOWS
452,1286,KNOWS
1238,965,KNOWS
2,853,KNOWS
1073,2,KNOWS
857,1238,KNOWS
147,452,KNOWS
1046,468,KNOWS
930,531,KNOWS
448,121,KNOWS
973,828,KNOWS
1024,444,KNOWS
327,27,KNOWS
640,630,KNOWS
509,199,KNOWS
1178,487,KNOWS
706,70,KNOWS
896,1265,KNOWS
576,419,KNOWS
1234,853,KNOWS
1100,59,KNOWS
626,1148,KNOWS
203,1088,KNOWS
280,468,KNOWS
1283,327,KNOWS
576,360,KNOWS
666,20,KNOWS
236,1268,KNOWS
1214,788,KNOWS
1144,389,KNOWS
881,16,KNOWS
1190,592,KNOWS
110,546,KNOWS
1301,678,KNOWS
1286,393,KNOWS
1257,961,KNOWS
877,527,KNOWS
162,867,KNOWS
479,39,KNOWS
1129,155,KNOWS
630,973,KNOWS
670,249,KNOWS
114,376,KNOWS
407,1122,KNOWS
772,252,KNOWS
98,1114,KNOWS
1210,816,KNOWS
1293,183,KNOWS
159,768,KNOWS
433,1046,KNOWS
923,225,KNOWS
1206,784,KNOWS
427,604,KNOWS
981,640,KNOWS
1226,969,KNOWS
1031,43,KNOWS
792,682,KNOWS
106,997,KNOWS
756,82,KNOWS
810,674,KNOWS
94,272,KNOWS
397,195,KNOWS
650,199,KNOWS
584,292,KNOWS
379,1108,KNOWS
554,335,KNOWS
35,1289,KNOWS
1316,50,KNOWS
363,951,KNOWS
926,942,KNOWS
487,460,KNOWS
938,444,KNOWS
920,187,KNOWS
1140,415,KNOWS
242,989,KNOWS
102,128,KNOWS
323,993,KNOWS
1073,131,KNOWS
523,634,KNOWS
151,170,KNOWS
685,744,KNOWS
411,143,KNOWS
27,1246,KNOWS
965,802,KNOWS
175,1076,KNOWS
539,302,KNOWS
1118,709,KNOWS
760,456,KNOWS
565,836,KNOWS
693,66,KNOWS
1265,496,KNOWS
440,1261,KNOWS
716,706,KNOWS
53,1320,KNOWS
832,319,KNOWS
1297,1039,KNOWS
1096,179,KNOWS
888,1013,KNOWS
1174,221,KNOWS
720,748,KNOWS
519,914,KNOWS
1230,977,KNOWS
13,588,KNOWS
1178,232,KNOWS
284,5,KNOWS
268,214,KNOWS
471,764,KNOWS
490,658,KNOWS
47,512,KNOWS
509,369,KNOWS
813,1080,KNOWS
558,900,KNOWS
1304,917,KNOWS
246,580,KNOWS
1155,423,KNOWS
600,1170,KNOWS
436,874,KNOWS
207,780,KNOWS
608,934,KNOWS
