:START_ID,:END_ID,:TYPE
1073,242,KNOWS_SN
857,360,KNOWS_SN
1046,1039,KNOWS_SN
930,792,KNOWS_SN
973,926,KNOWS_SN
1024,306,KNOWS_SN
327,1210,KNOWS_SN
640,1084,KNOWS_SN
509,1301,KNOWS_SN
1178,744,KNOWS_SN
713,802,KNOWS_SN
576,9,KNOWS_SN
419,1159,KNOWS_SN
70,62,KNOWS_SN
487,798,KNOWS_SN
630,155,KNOWS_SN
27,20,KNOWS_SN
444,260,KNOWS_SN
121,839,KNOWS_SN
468,82,KNOWS_SN
600,175,KNOWS_SN
1001,98,KNOWS_SN
452,1027,KNOWS_SN
1238,47,KNOWS_SN
1073,483,KNOWS_SN
857,331,KNOWS_SN
147,756,KNOWS_SN
448,709,KNOWS_SN
973,335,KNOWS_SN
1024,479,KNOWS_SN
327,701,KNOWS_SN
640,214,KNOWS_SN
509,292,KNOWS_SN
1178,369,KNOWS_SN
713,288,KNOWS_SN
706,225,KNOWS_SN
576,1304,KNOWS_SN
419,604,KNOWS_SN
1198,232,KNOWS_SN
1092,678,KNOWS_SN
1265,272,KNOWS_SN
70,969,KNOWS_SN
1114,319,KNOWS_SN
874,1279,KNOWS_SN
27,1194,KNOWS_SN
444,264,KNOWS_SN
828,1108,KNOWS_SN
121,1031,KNOWS_SN
531,207,KNOWS_SN
468,363,KNOWS_SN
1001,910,KNOWS_SN
452,53,KNOWS_SN
1238,39,KNOWS_SN
2,353,KNOWS_SN
776,66,KNOWS_SN
1073,1111,KNOWS_SN
857,50,KNOWS_SN
147,436,KNOWS_SN
1046,1308,KNOWS_SN
930,1080,KNOWS_SN
448,86,KNOWS_SN
973,203,KNOWS_SN
327,302,KNOWS_SN
640,592,KNOWS_SN
509,31,KNOWS_SN
713,736,KNOWS_SN
706,475,KNOWS_SN
896,670,KNOWS_SN
576,5,KNOWS_SN
419,1297,KNOWS_SN
1198,43,KNOWS_SN
1092,162,KNOWS_SN
70,674,KNOWS_SN
1114,654,KNOWS_SN
487,74,KNOWS_SN
199,554,KNOWS_SN
630,836,KNOWS_SN
27,1190,KNOWS_SN
444,102,KNOWS_SN
828,1206,KNOWS_SN
121,955,KNOWS_SN
468,16,KNOWS_SN
600,748,KNOWS_SN
452,892,KNOWS_SN
1238,106,KNOWS_SN
2,1271,KNOWS_SN
1073,490,KNOWS_SN
1046,349,KNOWS_SN
930,580,KNOWS_SN
448,252,KNOWS_SN
973,1261,KNOWS_SN
1024,951,KNOWS_SN
327,128,KNOWS_SN
640,1144,KNOWS_SN
509,611,KNOWS_SN
1178,732,KNOWS_SN
713,1226,KNOWS_SN
896,634,KNOWS_SN
1198,760,KNOWS_SN
1092,211,KNOWS_SN
1265,824,KNOWS_SN
1114,870,KNOWS_SN
487,323,KNOWS_SN
630,393,KNOWS_SN
874,863,KNOWS_SN
444,246,KNOWS_SN
828,813,KNOWS_SN
121,728,KNOWS_SN
