:START_ID,:END_ID,:TYPE
16960,16961,POSTCODE_IN_AREA
16962,16963,POSTCODE_IN_AREA
16964,16965,POSTCODE_IN_AREA
16966,16967,POSTCODE_IN_AREA
16968,16969,POSTCODE_IN_AREA
16970,16971,POSTCODE_IN_AREA
16972,16965,POSTCODE_IN_AREA
16973,16974,POSTCODE_IN_AREA
16975,16976,POSTCODE_IN_AREA
16977,16978,POSTCODE_IN_AREA
16979,16969,POSTCODE_IN_AREA
16980,16981,POSTCODE_IN_AREA
16982,16983,POSTCODE_IN_AREA
16984,16985,POSTCODE_IN_AREA
16986,16987,POSTCODE_IN_AREA
16988,16989,POSTCODE_IN_AREA
16990,16963,POSTCODE_IN_AREA
16991,16992,POSTCODE_IN_AREA
16993,16994,POSTCODE_IN_AREA
16995,16996,POSTCODE_IN_AREA
16997,16998,POSTCODE_IN_AREA
16999,17000,POSTCODE_IN_AREA
17001,17002,POSTCODE_IN_AREA
17003,17004,POSTCODE_IN_AREA
17005,16987,POSTCODE_IN_AREA
17006,16996,POSTCODE_IN_AREA
17007,17008,POSTCODE_IN_AREA
17009,17002,POSTCODE_IN_AREA
17010,16963,POSTCODE_IN_AREA
17011,17012,POSTCODE_IN_AREA
17013,17000,POSTCODE_IN_AREA
17014,17015,POSTCODE_IN_AREA
17016,16971,POSTCODE_IN_AREA
17017,17018,POSTCODE_IN_AREA
17019,16965,POSTCODE_IN_AREA
17020,17021,POSTCODE_IN_AREA
17022,17023,POSTCODE_IN_AREA
17024,16967,POSTCODE_IN_AREA
17025,17026,POSTCODE_IN_AREA
17027,16967,POSTCODE_IN_AREA
17028,17029,POSTCODE_IN_AREA
17030,17031,POSTCODE_IN_AREA
17032,17033,POSTCODE_IN_AREA
17034,17035,POSTCODE_IN_AREA
17036,16967,POSTCODE_IN_AREA
17037,17038,POSTCODE_IN_AREA
17039,17040,POSTCODE_IN_AREA
17041,17018,POSTCODE_IN_AREA
17042,16965,POSTCODE_IN_AREA
17043,16965,POSTCODE_IN_AREA
17044,17045,POSTCODE_IN_AREA
17046,17038,POSTCODE_IN_AREA
17047,17018,POSTCODE_IN_AREA
17048,17049,POSTCODE_IN_AREA
17050,16985,POSTCODE_IN_AREA
17051,17052,POSTCODE_IN_AREA
17053,17054,POSTCODE_IN_AREA
17055,17056,POSTCODE_IN_AREA
17057,17058,POSTCODE_IN_AREA
17059,17035,POSTCODE_IN_AREA
17060,16963,POSTCODE_IN_AREA
17061,17062,POSTCODE_IN_AREA
17063,17064,POSTCODE_IN_AREA
17065,16969,POSTCODE_IN_AREA
17066,16967,POSTCODE_IN_AREA
17067,17033,POSTCODE_IN_AREA
17068,17054,POSTCODE_IN_AREA
17069,16967,POSTCODE_IN_AREA
17070,17004,POSTCODE_IN_AREA
17071,17035,POSTCODE_IN_AREA
17072,17064,POSTCODE_IN_AREA
17073,17052,POSTCODE_IN_AREA
17074,17075,POSTCODE_IN_AREA
17076,17077,POSTCODE_IN_AREA
17078,17079,POSTCODE_IN_AREA
17080,16963,POSTCODE_IN_AREA
17081,17082,POSTCODE_IN_AREA
17083,16967,POSTCODE_IN_AREA
17084,17085,POSTCODE_IN_AREA
17086,17087,POSTCODE_IN_AREA
17088,17021,POSTCODE_IN_AREA
17089,16961,POSTCODE_IN_AREA
17090,17091,POSTCODE_IN_AREA
17092,17015,POSTCODE_IN_AREA
17093,16961,POSTCODE_IN_AREA
17094,17095,POSTCODE_IN_AREA
17096,17075,POSTCODE_IN_AREA
17097,17098,POSTCODE_IN_AREA
17099,17045,POSTCODE_IN_AREA
17100,16961,POSTCODE_IN_AREA
17101,17102,POSTCODE_IN_AREA
17103,17075,POSTCODE_IN_AREA
17104,17105,POSTCODE_IN_AREA
17106,16996,POSTCODE_IN_AREA
17107,17018,POSTCODE_IN_AREA
17108,17109,POSTCODE_IN_AREA
17110,16994,POSTCODE_IN_AREA
17111,16963,POSTCODE_IN_AREA
17112,17064,POSTCODE_IN_AREA
17113,16969,POSTCODE_IN_AREA
17114,17004,POSTCODE_IN_AREA
17115,17116,POSTCODE_IN_AREA
17117,17118,POSTCODE_IN_AREA
17119,16981,POSTCODE_IN_AREA
17120,17121,POSTCODE_IN_AREA
17122,17064,POSTCODE_IN_AREA
17123,17124,POSTCODE_IN_AREA
17125,17102,POSTCODE_IN_AREA
17126,17004,POSTCODE_IN_AREA
17127,16963,POSTCODE_IN_AREA
17128,17105,POSTCODE_IN_AREA
17129,16996,POSTCODE_IN_AREA
17130,17035,POSTCODE_IN_AREA
17131,16967,POSTCODE_IN_AREA
17132,16989,POSTCODE_IN_AREA
17133,17102,POSTCODE_IN_AREA
17134,17135,POSTCODE_IN_AREA
17136,17109,POSTCODE_IN_AREA
17137,17049,POSTCODE_IN_AREA
17138,17118,POSTCODE_IN_AREA
17139,17098,POSTCODE_IN_AREA
17140,17056,POSTCODE_IN_AREA
17141,17098,POSTCODE_IN_AREA
17142,17143,POSTCODE_IN_AREA
17144,17054,POSTCODE_IN_AREA
17145,17023,POSTCODE_IN_AREA
17146,16963,POSTCODE_IN_AREA
17147,17121,POSTCODE_IN_AREA
17148,16994,POSTCODE_IN_AREA
17149,16994,POSTCODE_IN_AREA
17150,17151,POSTCODE_IN_AREA
17152,16965,POSTCODE_IN_AREA
17153,16971,POSTCODE_IN_AREA
17154,17018,POSTCODE_IN_AREA
17155,17102,POSTCODE_IN_AREA
17156,16967,POSTCODE_IN_AREA
17157,17158,POSTCODE_IN_AREA
17159,16994,POSTCODE_IN_AREA
17160,17040,POSTCODE_IN_AREA
17161,17052,POSTCODE_IN_AREA
17162,16963,POSTCODE_IN_AREA
17163,17015,POSTCODE_IN_AREA
17164,16963,POSTCODE_IN_AREA
17165,16967,POSTCODE_IN_AREA
17166,17015,POSTCODE_IN_AREA
17167,16971,POSTCODE_IN_AREA
17168,17169,POSTCODE_IN_AREA
17170,16983,POSTCODE_IN_AREA
17171,17049,POSTCODE_IN_AREA
17172,16989,POSTCODE_IN_AREA
17173,17029,POSTCODE_IN_AREA
17174,16996,POSTCODE_IN_AREA
17175,16983,POSTCODE_IN_AREA
17176,17079,POSTCODE_IN_AREA
17177,17018,POSTCODE_IN_AREA
17178,16983,POSTCODE_IN_AREA
17179,17158,POSTCODE_IN_AREA
17180,16998,POSTCODE_IN_AREA
17181,17052,POSTCODE_IN_AREA
17182,17015,POSTCODE_IN_AREA
17183,17018,POSTCODE_IN_AREA
17184,17185,POSTCODE_IN_AREA
17186,17151,POSTCODE_IN_AREA
17187,16963,POSTCODE_IN_AREA
17188,17052,POSTCODE_IN_AREA
17189,17026,POSTCODE_IN_AREA
17190,17191,POSTCODE_IN_AREA
17192,16987,POSTCODE_IN_AREA
17193,17116,POSTCODE_IN_AREA
17194,17195,POSTCODE_IN_AREA
17196,17040,POSTCODE_IN_AREA
17197,17102,POSTCODE_IN_AREA
17198,16976,POSTCODE_IN_AREA
17199,17062,POSTCODE_IN_AREA
17200,17035,POSTCODE_IN_AREA
17201,17202,POSTCODE_IN_AREA
17203,16963,POSTCODE_IN_AREA
17204,17205,POSTCODE_IN_AREA
17206,17102,POSTCODE_IN_AREA
17207,16963,POSTCODE_IN_AREA
17208,17004,POSTCODE_IN_AREA
17209,16965,POSTCODE_IN_AREA
17210,16967,POSTCODE_IN_AREA
17211,17212,POSTCODE_IN_AREA
17213,16971,POSTCODE_IN_AREA
17214,17018,POSTCODE_IN_AREA
17215,17040,POSTCODE_IN_AREA
17216,17049,POSTCODE_IN_AREA
17217,17218,POSTCODE_IN_AREA
17219,16992,POSTCODE_IN_AREA
17220,17158,POSTCODE_IN_AREA
17221,16987,POSTCODE_IN_AREA
17222,16963,POSTCODE_IN_AREA
17223,16996,POSTCODE_IN_AREA
17224,17091,POSTCODE_IN_AREA
17225,17169,POSTCODE_IN_AREA
17226,16994,POSTCODE_IN_AREA
17227,17202,POSTCODE_IN_AREA
17228,17035,POSTCODE_IN_AREA
17229,17230,POSTCODE_IN_AREA
17231,17035,POSTCODE_IN_AREA
17232,17026,POSTCODE_IN_AREA
17233,17091,POSTCODE_IN_AREA
17234,17064,POSTCODE_IN_AREA
17235,17018,POSTCODE_IN_AREA
17236,16974,POSTCODE_IN_AREA
17237,16963,POSTCODE_IN_AREA
17238,17098,POSTCODE_IN_AREA
17239,17118,POSTCODE_IN_AREA
17240,17098,POSTCODE_IN_AREA
17241,17023,POSTCODE_IN_AREA
17242,17158,POSTCODE_IN_AREA
17243,17143,POSTCODE_IN_AREA
17244,16967,POSTCODE_IN_AREA
17245,16963,POSTCODE_IN_AREA
17246,17158,POSTCODE_IN_AREA
17247,17118,POSTCODE_IN_AREA
17248,17056,POSTCODE_IN_AREA
17249,17124,POSTCODE_IN_AREA
17250,16963,POSTCODE_IN_AREA
17251,17135,POSTCODE_IN_AREA
17252,16998,POSTCODE_IN_AREA
17253,16967,POSTCODE_IN_AREA
17254,17202,POSTCODE_IN_AREA
17255,16971,POSTCODE_IN_AREA
17256,17116,POSTCODE_IN_AREA
17257,17026,POSTCODE_IN_AREA
17258,17018,POSTCODE_IN_AREA
17259,16963,POSTCODE_IN_AREA
17260,17004,POSTCODE_IN_AREA
17261,16983,POSTCODE_IN_AREA
17262,17263,POSTCODE_IN_AREA
17264,16967,POSTCODE_IN_AREA
17265,17075,POSTCODE_IN_AREA
17266,17098,POSTCODE_IN_AREA
17267,17026,POSTCODE_IN_AREA
17268,17169,POSTCODE_IN_AREA
17269,17075,POSTCODE_IN_AREA
17270,16996,POSTCODE_IN_AREA
17271,17026,POSTCODE_IN_AREA
17272,17095,POSTCODE_IN_AREA
17273,17274,POSTCODE_IN_AREA
17275,17121,POSTCODE_IN_AREA
17276,17000,POSTCODE_IN_AREA
17277,17102,POSTCODE_IN_AREA
17278,16976,POSTCODE_IN_AREA
17279,16967,POSTCODE_IN_AREA
17280,17026,POSTCODE_IN_AREA
17281,17185,POSTCODE_IN_AREA
17282,16963,POSTCODE_IN_AREA
17283,17195,POSTCODE_IN_AREA
17284,17004,POSTCODE_IN_AREA
17285,17077,POSTCODE_IN_AREA
17286,16963,POSTCODE_IN_AREA
17287,16963,POSTCODE_IN_AREA
17288,17026,POSTCODE_IN_AREA
17289,17004,POSTCODE_IN_AREA
17290,17056,POSTCODE_IN_AREA
17291,17091,POSTCODE_IN_AREA
17292,16983,POSTCODE_IN_AREA
17293,16996,POSTCODE_IN_AREA
17294,16963,POSTCODE_IN_AREA
17295,16965,POSTCODE_IN_AREA
17296,17054,POSTCODE_IN_AREA
17297,16994,POSTCODE_IN_AREA
17298,17212,POSTCODE_IN_AREA
17299,17079,POSTCODE_IN_AREA
17300,16967,POSTCODE_IN_AREA
17301,17002,POSTCODE_IN_AREA
17302,17082,POSTCODE_IN_AREA
17303,16989,POSTCODE_IN_AREA
17304,17045,POSTCODE_IN_AREA
17305,16976,POSTCODE_IN_AREA
17306,17029,POSTCODE_IN_AREA
17307,17026,POSTCODE_IN_AREA
17308,17079,POSTCODE_IN_AREA
17309,16996,POSTCODE_IN_AREA
17310,17002,POSTCODE_IN_AREA
17311,16965,POSTCODE_IN_AREA
17312,16992,POSTCODE_IN_AREA
17313,16971,POSTCODE_IN_AREA
17314,17315,POSTCODE_IN_AREA
17316,17000,POSTCODE_IN_AREA
17317,17064,POSTCODE_IN_AREA
17318,16963,POSTCODE_IN_AREA
17319,17033,POSTCODE_IN_AREA
17320,17274,POSTCODE_IN_AREA
17321,16987,POSTCODE_IN_AREA
17322,16963,POSTCODE_IN_AREA
17323,17023,POSTCODE_IN_AREA
17324,17026,POSTCODE_IN_AREA
17325,17062,POSTCODE_IN_AREA
17326,17021,POSTCODE_IN_AREA
17327,16987,POSTCODE_IN_AREA
17328,16963,POSTCODE_IN_AREA
17329,17143,POSTCODE_IN_AREA
17330,16965,POSTCODE_IN_AREA
17331,16989,POSTCODE_IN_AREA
17332,17143,POSTCODE_IN_AREA
17333,16965,POSTCODE_IN_AREA
17334,17095,POSTCODE_IN_AREA
17335,17095,POSTCODE_IN_AREA
17336,17095,POSTCODE_IN_AREA
17337,17095,POSTCODE_IN_AREA
17338,17095,POSTCODE_IN_AREA
17339,17095,POSTCODE_IN_AREA
17340,17095,POSTCODE_IN_AREA
17341,17095,POSTCODE_IN_AREA
17342,17095,POSTCODE_IN_AREA
17343,17195,POSTCODE_IN_AREA
17344,17195,POSTCODE_IN_AREA
17345,17195,POSTCODE_IN_AREA
17346,17195,POSTCODE_IN_AREA
17347,17195,POSTCODE_IN_AREA
17348,17195,POSTCODE_IN_AREA
17349,17195,POSTCODE_IN_AREA
17350,17195,POSTCODE_IN_AREA
17351,17095,POSTCODE_IN_AREA
17352,17095,POSTCODE_IN_AREA
17353,17095,POSTCODE_IN_AREA
17354,17095,POSTCODE_IN_AREA
17355,17095,POSTCODE_IN_AREA
17356,17095,POSTCODE_IN_AREA
17357,17195,POSTCODE_IN_AREA
17358,17195,POSTCODE_IN_AREA
17359,17095,POSTCODE_IN_AREA
17360,16965,POSTCODE_IN_AREA
17361,16965,POSTCODE_IN_AREA
17362,16965,POSTCODE_IN_AREA
17363,16965,POSTCODE_IN_AREA
17364,16965,POSTCODE_IN_AREA
17365,16965,POSTCODE_IN_AREA
17366,16965,POSTCODE_IN_AREA
17367,16965,POSTCODE_IN_AREA
17368,16965,POSTCODE_IN_AREA
17369,16965,POSTCODE_IN_AREA
17370,16965,POSTCODE_IN_AREA
17371,16965,POSTCODE_IN_AREA
17372,16965,POSTCODE_IN_AREA
17373,16965,POSTCODE_IN_AREA
17374,16965,POSTCODE_IN_AREA
17375,16965,POSTCODE_IN_AREA
17376,16965,POSTCODE_IN_AREA
17377,16965,POSTCODE_IN_AREA
17378,16965,POSTCODE_IN_AREA
17379,16965,POSTCODE_IN_AREA
17380,17095,POSTCODE_IN_AREA
17381,17095,POSTCODE_IN_AREA
17382,17095,POSTCODE_IN_AREA
17383,17095,POSTCODE_IN_AREA
17384,17095,POSTCODE_IN_AREA
17385,17095,POSTCODE_IN_AREA
17386,16989,POSTCODE_IN_AREA
17387,16989,POSTCODE_IN_AREA
17388,16989,POSTCODE_IN_AREA
17389,16989,POSTCODE_IN_AREA
17390,16989,POSTCODE_IN_AREA
17391,16989,POSTCODE_IN_AREA
17392,16989,POSTCODE_IN_AREA
17393,16989,POSTCODE_IN_AREA
17394,16989,POSTCODE_IN_AREA
17395,16989,POSTCODE_IN_AREA
17396,16989,POSTCODE_IN_AREA
17397,16989,POSTCODE_IN_AREA
17398,16989,POSTCODE_IN_AREA
17399,16989,POSTCODE_IN_AREA
17400,16989,POSTCODE_IN_AREA
17401,16989,POSTCODE_IN_AREA
17402,16989,POSTCODE_IN_AREA
17403,16989,POSTCODE_IN_AREA
17404,16989,POSTCODE_IN_AREA
17405,16989,POSTCODE_IN_AREA
17406,16989,POSTCODE_IN_AREA
17407,16989,POSTCODE_IN_AREA
17408,16989,POSTCODE_IN_AREA
17409,16989,POSTCODE_IN_AREA
17410,16989,POSTCODE_IN_AREA
17411,16989,POSTCODE_IN_AREA
17412,16989,POSTCODE_IN_AREA
17413,16989,POSTCODE_IN_AREA
17414,16989,POSTCODE_IN_AREA
17415,16989,POSTCODE_IN_AREA
17416,16989,POSTCODE_IN_AREA
17417,16989,POSTCODE_IN_AREA
17418,16989,POSTCODE_IN_AREA
17419,16989,POSTCODE_IN_AREA
17420,16989,POSTCODE_IN_AREA
17421,16989,POSTCODE_IN_AREA
17422,16989,POSTCODE_IN_AREA
17423,16989,POSTCODE_IN_AREA
17424,16989,POSTCODE_IN_AREA
17425,16989,POSTCODE_IN_AREA
17426,16989,POSTCODE_IN_AREA
17427,16989,POSTCODE_IN_AREA
17428,16989,POSTCODE_IN_AREA
17429,16989,POSTCODE_IN_AREA
17430,16989,POSTCODE_IN_AREA
17431,16989,POSTCODE_IN_AREA
17432,16989,POSTCODE_IN_AREA
17433,16965,POSTCODE_IN_AREA
17434,16965,POSTCODE_IN_AREA
17435,16965,POSTCODE_IN_AREA
17436,16965,POSTCODE_IN_AREA
17437,16965,POSTCODE_IN_AREA
17438,16965,POSTCODE_IN_AREA
17439,16965,POSTCODE_IN_AREA
17440,16965,POSTCODE_IN_AREA
17441,16965,POSTCODE_IN_AREA
17442,16965,POSTCODE_IN_AREA
17443,16965,POSTCODE_IN_AREA
17444,16965,POSTCODE_IN_AREA
17445,16965,POSTCODE_IN_AREA
17446,16965,POSTCODE_IN_AREA
17447,16965,POSTCODE_IN_AREA
17448,16965,POSTCODE_IN_AREA
17449,16965,POSTCODE_IN_AREA
17450,16965,POSTCODE_IN_AREA
17451,16965,POSTCODE_IN_AREA
17452,16965,POSTCODE_IN_AREA
17453,16965,POSTCODE_IN_AREA
17454,16965,POSTCODE_IN_AREA
17455,16965,POSTCODE_IN_AREA
17456,16965,POSTCODE_IN_AREA
17457,16965,POSTCODE_IN_AREA
17458,16965,POSTCODE_IN_AREA
17459,16965,POSTCODE_IN_AREA
17460,16965,POSTCODE_IN_AREA
17461,16965,POSTCODE_IN_AREA
17462,16965,POSTCODE_IN_AREA
17463,16965,POSTCODE_IN_AREA
17464,16965,POSTCODE_IN_AREA
17465,16965,POSTCODE_IN_AREA
17466,16965,POSTCODE_IN_AREA
17467,16965,POSTCODE_IN_AREA
17468,16965,POSTCODE_IN_AREA
17469,16965,POSTCODE_IN_AREA
17470,17195,POSTCODE_IN_AREA
17471,17195,POSTCODE_IN_AREA
17472,17195,POSTCODE_IN_AREA
17473,17195,POSTCODE_IN_AREA
17474,17195,POSTCODE_IN_AREA
17475,17195,POSTCODE_IN_AREA
17476,17195,POSTCODE_IN_AREA
